import time: self [us] | cumulative | imported package
import time:      1397 |       5461 |                       numpy._core.fromnumeric
import time:       665 |       6125 |                     numpy._core.shape_base
import time:      1020 |       1020 |                     numpy._core._ufunc_config
import time:       765 |        765 |                     numpy._core._asarray
import time:      2673 |       2673 |                     numpy._core.arrayprint
import time:      2634 |      13215 |                   numpy._core.numeric
import time:       886 |      14100 |                 numpy._core.einsumfunc
import time:       662 |        662 |                 numpy._core.function_base
import time:       588 |        588 |                 numpy._core.getlimits
import time:       740 |        740 |                 numpy._core.memmap
import time:       803 |        803 |                 numpy._core.records
import time:      7781 |       7781 |                 numpy._core._add_newdocs
import time:      1470 |       1470 |                 numpy._core._add_newdocs_scalars
import time:       502 |        502 |                 numpy._core._dtype
import time:       486 |        486 |                 numpy._core._dtype_ctypes
import time:      1868 |       1868 |                     sysconfig
import time:      1457 |       1457 |                     _ctypes
import time:      1261 |       1261 |                     ctypes._endian
import time:      1988 |       6574 |                   ctypes
import time:      1909 |       8482 |                 numpy._core._internal
import time:       535 |        535 |                 numpy._pytesttester
import time:      3934 |      61268 |               numpy._core
import time:        55 |      61323 |             numpy._core._multiarray_umath
import time:       949 |      62271 |           numpy.__config__
import time:       549 |        549 |                             numpy._typing._nbit_base
import time:       520 |        520 |                             numpy._typing._nested_sequence
import time:       374 |        374 |                             numpy._typing._shape
import time:      1508 |       2950 |                           numpy._typing._array_like
import time:       528 |        528 |                           numpy._typing._char_codes
import time:       768 |        768 |                           numpy._typing._dtype_like
import time:      7641 |       7641 |                           numpy._typing._nbit
import time:       753 |        753 |                           numpy._typing._scalars
import time:       473 |        473 |                           numpy._typing._ufunc
import time:      2371 |      15480 |                         numpy._typing
import time:       369 |        369 |                             numpy.lib._array_utils_impl
import time:       714 |       1083 |                           numpy.lib._stride_tricks_impl
import time:      1222 |       2304 |                         numpy.lib._twodim_base_impl
import time:       482 |        482 |                         numpy.lib.array_utils
import time:       714 |        714 |                         numpy.linalg._umath_linalg
import time:      3208 |      22186 |                       numpy.linalg._linalg
import time:      1588 |      23774 |                     numpy.linalg
import time:       663 |      24437 |                   numpy.matrixlib.defmatrix
import time:      1026 |      25463 |                 numpy.matrixlib
import time:       621 |        621 |                   numpy.lib._histograms_impl
import time:      1996 |       2617 |                 numpy.lib._function_base_impl
import time:      2069 |      30147 |               numpy.lib._index_tricks_impl
import time:      1335 |      31482 |             numpy.lib._arraypad_impl
import time:      1344 |       1344 |             numpy.lib._arraysetops_impl
import time:       625 |        625 |             numpy.lib._arrayterator_impl
import time:      1360 |       1360 |             numpy.lib._nanfunctions_impl
import time:      1305 |       1305 |                       _wmi
import time:      1172 |       2476 |                     platform
import time:      1159 |       3635 |                   numpy.lib._utils_impl
import time:       968 |       4602 |                 numpy.lib._format_impl
import time:       998 |       5600 |               numpy.lib.format
import time:       791 |        791 |               numpy.lib._datasource
import time:       961 |        961 |               numpy.lib._iotools
import time:      1823 |       9174 |             numpy.lib._npyio_impl
import time:       966 |        966 |                 numpy.lib._ufunclike_impl
import time:      1179 |       2144 |               numpy.lib._type_check_impl
import time:      1764 |       3908 |             numpy.lib._polynomial_impl
import time:      1075 |       1075 |             numpy.lib._shape_base_impl
import time:       795 |        795 |             numpy.lib._version
import time:       624 |        624 |             numpy.lib.introspect
import time:      1203 |       1203 |             numpy.lib.mixins
import time:      1308 |       1308 |             numpy.lib.npyio
import time:       759 |        759 |               numpy.lib._scimath_impl
import time:       862 |       1621 |             numpy.lib.scimath
import time:       379 |        379 |             numpy.lib.stride_tricks
import time:      1334 |      56227 |           numpy.lib
import time:       769 |        769 |           numpy._array_api_info
import time:      6147 |     130127 |         numpy
import time:       703 |        703 |             pydicom.misc
import time:       808 |        808 |                         pydicom.filebase
import time:      1197 |       1197 |                           pydicom.tag
import time:      9326 |       9326 |                             pydicom._dicom_dict
import time:      4439 |       4439 |                             pydicom._private_dict
import time:      9698 |      23462 |                           pydicom.datadict
import time:      1890 |      26549 |                         pydicom.fileutil
import time:      1594 |      28949 |                       pydicom.encaps
import time:      1189 |       1189 |                                 _decimal
import time:       621 |       1809 |                               decimal
import time:      8073 |       9882 |                             pydicom.valuerep
import time:      1716 |      11597 |                           pydicom.charset
import time:      3293 |       3293 |                               _hashlib
import time:        97 |         97 |                               _blake2
import time:       979 |       4368 |                             hashlib
import time:       935 |        935 |                               hmac
import time:      1867 |       2802 |                             secrets
import time:      1233 |       1233 |                               _uuid
import time:      1093 |       2326 |                             uuid
import time:      1777 |       1777 |                             pydicom._uid_dict
import time:      4489 |      15761 |                           pydicom.uid
import time:      2816 |      30173 |                         pydicom.pixels.utils
import time:      2329 |      32501 |                       pydicom.pixels.common
import time:      1014 |       1014 |                           PIL._version
import time:      1284 |       2298 |                         PIL
import time:      4276 |       4276 |                             PIL.ExifTags
import time:      1458 |       1458 |                             PIL.ImageMode
import time:      1739 |       1739 |                             PIL.TiffTags
import time:       836 |        836 |                             PIL._binary
import time:       726 |        726 |                             PIL._deprecate
import time:       489 |        489 |                             PIL._util
import time:       188 |        188 |                             defusedxml
import time:       917 |        917 |                             PIL._imaging
import time:      4349 |      14975 |                           PIL.Image
import time:      1904 |       1904 |                             _socket
import time:       943 |       2847 |                           PIL._typing
import time:       774 |        774 |                           PIL._imagingcms
import time:      2342 |      20936 |                         PIL.ImageCms
import time:       480 |        480 |                                 urllib
import time:       737 |        737 |                                 email
import time:      1580 |       1580 |                                   http
import time:       637 |        637 |                                       email.errors
import time:       815 |        815 |                                           email.quoprimime
import time:       539 |        539 |                                           email.base64mime
import time:       624 |        624 |                                               quopri
import time:       906 |       1530 |                                             email.encoders
import time:       760 |       2290 |                                           email.charset
import time:      1238 |       4880 |                                         email.header
import time:      1822 |       1822 |                                             ipaddress
import time:      2650 |       4472 |                                           urllib.parse
import time:       818 |        818 |                                           email._parseaddr
import time:      1535 |       6824 |                                         email.utils
import time:       929 |      12631 |                                       email._policybase
import time:      1175 |      14442 |                                     email.feedparser
import time:      1012 |      15454 |                                   email.parser
import time:       953 |        953 |                                     email._encoded_words
import time:       533 |        533 |                                     email.iterators
import time:      1773 |       3258 |                                   email.message
import time:       700 |        700 |                                       select
import time:      1011 |       1710 |                                     selectors
import time:      1917 |       3627 |                                   socket
import time:      2433 |       2433 |                                     _ssl
import time:      3265 |       5698 |                                   ssl
import time:      4208 |      33822 |                                 http.client
import time:       642 |        642 |                                   urllib.response
import time:       894 |       1536 |                                 urllib.error
import time:       626 |        626 |                                 nturl2path
import time:      3242 |      40441 |                               urllib.request
import time:      1709 |       1709 |                                   urllib3.exceptions
import time:       821 |        821 |                                           urllib3.util.timeout
import time:      2276 |       3097 |                                         urllib3.util.connection
import time:       530 |        530 |                                           urllib3.util.util
import time:       195 |        195 |                                           brotlicffi
import time:       168 |        168 |                                           brotli
import time:       140 |        140 |                                           backports
import time:      1836 |       2869 |                                         urllib3.util.request
import time:       614 |        614 |                                         urllib3.util.response
import time:       836 |        836 |                                         urllib3.util.retry
import time:      6311 |       6311 |                                           urllib3.util.url
import time:       709 |        709 |                                           urllib3.util.ssltransport
import time:      1382 |       8401 |                                         urllib3.util.ssl_
import time:       465 |        465 |                                         urllib3.util.wait
import time:      2493 |      18772 |                                       urllib3.util
import time:        40 |      18812 |                                     urllib3.util.connection
